Date;Open;High;Low;Close;Adj Close;Volume
01/12/1992;3.165.850;3.421.160;2.900.327;3.135.212;0.618886;2406384
01/01/1993;3.104.575;3.502.859;3.063.725;3.196.487;0.630981;3280320
01/02/1993;3.176.062;3.421.160;3.135.212;3.349.673;0.661220;2487168
01/03/1993;3.349.673;3.543.709;3.308.824;3.502.859;0.691459;6637752
01/04/1993;3.502.859;3.645.833;3.370.098;3.604.984;0.711618;12769992
01/05/1993;3.594.771;3.870.507;3.543.709;3.819.444;0.771966;14249808
01/06/1993;3.747.958;3.839.869;3.502.859;3.656.046;0.738941;13031928
01/07/1993;3.635.621;3.666.258;3.380.310;3.645.833;0.736877;9471312
01/08/1993;3.625.408;4.350.490;3.615.196;4.125.817;0.842807;8618184
01/09/1993;4.044.118;4.289.216;4.003.268;4.156.454;0.849066;5766264
01/10/1993;4.146.242;4.381.127;4.105.392;4.238.154;0.865755;5405184
01/11/1993;4.258.578;4.258.578;3.523.284;3.615.196;0.745105;6820128
01/12/1993;3.666.258;4.044.118;3.625.408;3.809.232;0.785097;9592488
01/01/1994;3.809.232;4.248.366;3.594.771;4.248.366;0.875604;9669600
01/02/1994;4.207.516;4.248.366;4.003.268;4.064.542;0.845275;4903344
01/03/1994;4.084.967;4.105.392;3.768.382;3.809.232;0.792180;4352544
01/04/1994;3.799.020;3.941.993;3.329.248;3.553.922;0.739085;6337872
01/05/1994;3.584.559;3.829.657;3.441.585;3.635.621;0.768751;4897224
01/06/1994;3.615.196;3.615.196;2.818.627;2.920.752;0.617592;12959712
01/07/1994;2.930.964;3.278.186;2.777.778;3.186.275;0.757253;20513016
01/08/1994;3.257.761;3.410.948;3.196.487;3.298.611;0.793567;10544760
01/09/1994;3.257.761;3.400.735;3.033.088;3.176.062;0.764085;7200792
01/10/1994;3.114.788;3.370.098;2.951.389;3.319.036;0.798481;24103008
01/11/1994;3.329.248;3.370.098;3.237.337;3.370.098;0.819022;4069800
01/12/1994;3.329.248;3.349.673;3.063.725;3.125.000;0.759457;4896000
01/01/1995;3.145.425;3.145.425;2.828.840;2.941.176;0.714783;9929088
01/02/1995;2.941.176;3.145.425;2.879.902;2.930.964;0.720524;6839712
01/03/1995;2.941.176;2.961.601;2.655.229;2.900.327;0.712993;12568032
01/04/1995;2.900.327;3.104.575;2.787.990;2.961.601;0.728055;19462824
01/05/1995;2.971.814;3.278.186;2.961.601;3.114.788;0.778950;7591248
01/06/1995;3.104.575;3.370.098;3.063.725;3.216.912;0.804490;6794424
01/07/1995;3.267.974;3.584.559;3.257.761;3.492.647;0.873446;8479872
01/08/1995;3.492.647;3.594.771;3.308.824;3.370.098;0.853238;4740552
01/09/1995;3.380.310;3.502.859;3.298.611;3.400.735;0.860994;2992680
01/10/1995;3.400.735;3.533.497;3.196.487;3.523.284;0.892020;12733272
01/11/1995;3.513.072;3.952.206;3.502.859;3.768.382;0.965594;12424824
01/12/1995;3.768.382;4.074.755;3.666.258;4.023.693;1.031.014;3649968
01/01/1996;4.176.879;4.289.216;3.778.595;3.941.993;1.010.079;19952424
01/02/1996;3.941.993;4.115.605;3.676.471;3.982.843;1.031.150;6495768
01/03/1996;3.993.056;4.023.693;3.574.346;3.860.294;0.999422;6791976
01/04/1996;3.860.294;4.033.905;3.788.807;3.829.657;0.991490;3532464
01/05/1996;3.809.232;3.901.144;3.686.683;3.696.895;0.965707;3760128
01/06/1996;3.707.108;3.931.781;3.676.471;3.788.807;0.989716;2288880
01/07/1996;3.809.232;3.972.631;3.737.745;3.901.144;1.019.061;3806640
01/08/1996;3.921.569;4.289.216;3.921.569;4.166.667;1.100.942;6842160
01/09/1996;4.074.755;4.289.216;4.054.330;4.279.003;1.130.624;3795624
01/10/1996;4.258.578;4.319.853;4.125.817;4.238.154;1.119.831;64719000
01/11/1996;4.217.729;4.585.376;4.207.516;4.452.614;1.188.801;5768712
01/12/1996;4.452.614;5.208.333;4.401.552;5.187.908;1.385.117;3772368
01/01/1997;5.167.484;5.371.732;4.881.536;5.300.245;1.415.110;31017384
01/02/1997;5.187.908;5.637.255;5.126.634;5.504.493;1.482.413;8550864
01/03/1997;5.484.069;5.708.742;5.371.732;5.555.556;1.496.166;16028280
01/04/1997;5.535.131;6.209.150;5.433.007;6.066.176;1.633.681;4507992
01/05/1997;6.086.601;7.352.941;6.066.176;6.995.507;1.902.618;5306040
01/06/1997;6.903.595;8.210.784;6.821.895;7.582.721;2.062.327;6965376
01/07/1997;7.567.402;8.088.235;6.433.824;7.046.569;1.916.505;7392552
01/08/1997;6.801.471;7.199.755;6.571.691;6.801.471;1.862.050;5951496
01/09/1997;6.770.833;8.072.917;6.663.603;8.026.961;2.197.556;3824184
01/10/1997;8.026.961;8.072.917;5.759.804;6.663.603;1.824.306;4919664
01/11/1997;6.924.020;7.368.260;6.158.088;7.245.711;1.998.619;2553264
01/12/1997;7.368.260;8.088.235;7.015.931;7.981.005;2.201.439;2642208
01/01/1998;8.118.873;8.854.167;8.088.235;8.501.838;2.345.102;4765440
01/02/1998;8.670.343;11.642.157;8.517.157;11.427.696;3.169.057;9733656
01/03/1998;11.672.794;12.270.221;10.968.137;12.117.034;3.360.220;4087752
01/04/1998;12.009.804;13.204.657;11.933.211;12.837.010;3.559.879;3745440
01/05/1998;12.852.328;13.327.206;12.071.078;12.193.627;3.396.851;3542664
01/06/1998;12.009.804;12.974.877;11.213.235;12.423.407;3.460.864;3540216
01/07/1998;12.622.549;14.276.961;12.469.363;13.572.304;3.790.621;3539196
01/08/1998;13.296.569;13.572.304;8.000.000;8.937.500;2.506.398;7239768
01/09/1998;9.312.500;9.875.000;7.031.250;7.562.500;2.136.737;9120600
01/10/1998;7.187.500;9.250.000;6.312.500;9.187.500;2.595.872;6254400
01/11/1998;9.593.750;10.593.750;8.625.000;10.000.000;2.844.336;4637400
01/12/1998;9.812.500;10.250.000;9.000.000;9.875.000;2.808.781;2997200
01/01/1999;10.343.750;11.406.250;8.062.500;9.687.500;2.755.449;6339200
01/02/1999;9.593.750;10.375.000;9.062.500;9.812.500;2.806.067;3196200
01/03/1999;9.750.000;11.000.000;9.375.000;10.031.250;2.868.623;2735800
01/04/1999;10.062.500;11.562.500;9.937.500;10.750.000;3.074.163;2733000
01/05/1999;10.812.500;11.343.750;10.281.250;10.281.250;2.951.360;2462200
01/06/1999;10.468.750;10.937.500;10.250.000;10.562.500;3.032.096;2075100
01/07/1999;10.562.500;10.812.500;9.562.500;9.750.000;2.798.857;2233200
01/08/1999;9.625.000;10.500.000;9.500.000;10.000.000;2.870.623;1851300
01/09/1999;10.125.000;10.375.000;9.812.500;10.312.500;2.977.851;1103900
01/10/1999;10.250.000;10.500.000;9.687.500;10.187.500;2.941.756;1551100
01/11/1999;10.250.000;11.562.500;10.125.000;10.812.500;3.140.880;1633800
01/12/1999;10.937.500;12.312.500;10.625.000;11.687.500;3.395.054;2752800
01/01/2000;11.687.500;11.812.500;9.875.000;10.000.000;2.904.860;3029400
01/02/2000;10.062.500;11.187.500;9.875.000;10.500.000;3.093.905;5041200
01/03/2000;10.375.000;11.562.500;10.187.500;10.750.000;3.167.569;8996800
01/04/2000;10.687.500;11.000.000;10.000.000;10.875.000;3.204.401;4399600
01/05/2000;10.750.000;10.750.000;8.875.000;9.750.000;2.889.243;3911500
01/06/2000;9.875.000;10.500.000;9.812.500;10.375.000;3.074.452;3120500
01/07/2000;10.375.000;10.875.000;10.062.500;10.500.000;3.111.493;4876300
01/08/2000;10.312.500;11.500.000;10.062.500;10.937.500;3.241.138;6108900
01/09/2000;10.687.500;11.000.000;10.062.500;10.937.500;3.260.077;4406400
01/10/2000;10.875.000;10.937.500;8.812.500;10.187.500;3.036.530;4723600
01/11/2000;10.125.000;10.500.000;8.375.000;8.750.000;2.623.528;6819200
01/12/2000;8.812.500;10.625.000;8.625.000;10.562.500;3.166.972;3835200
01/01/2001;10.562.500;11.937.500;10.312.500;10.910.000;3.271.164;7925300
01/02/2001;11.120.000;11.370.000;9.800.000;10.370.000;3.126.111;4668000
01/03/2001;10.220.000;10.950.000;8.100.000;9.070.000;2.734.218;3529200
01/04/2001;9.020.000;9.990.000;8.660.000;9.840.000;2.966.338;5531000
01/05/2001;9.800.000;10.100.000;9.310.000;9.450.000;2.894.256;3703500
01/06/2001;9.450.000;9.800.000;9.000.000;9.190.000;2.814.626;3945000
01/07/2001;9.290.000;9.550.000;7.980.000;8.700.000;2.664.553;6061800
01/08/2001;8.950.000;9.600.000;8.520.000;9.150.000;2.824.493;3981700
01/09/2001;8.960.000;9.050.000;6.300.000;7.540.000;2.327.507;4296300
01/10/2001;7.450.000;8.640.000;6.900.000;7.730.000;2.386.158;6099500
01/11/2001;7.760.000;8.950.000;7.650.000;8.370.000;2.604.215;4984000
01/12/2001;8.180.000;9.300.000;7.850.000;8.300.000;2.582.435;5739800
01/01/2002;8.520.000;8.740.000;7.610.000;7.910.000;2.461.092;6631100
01/02/2002;7.980.000;8.110.000;7.430.000;7.990.000;2.506.406;4406000
01/03/2002;7.990.000;8.800.000;7.980.000;8.220.000;2.578.555;4299800
01/04/2002;8.340.000;9.390.000;8.120.000;9.300.000;2.917.343;5012300
01/05/2002;9.310.000;9.540.000;8.900.000;9.100.000;2.871.981;5448300
01/06/2002;9.150.000;9.220.000;7.170.000;7.790.000;2.458.542;9718200
01/07/2002;7.930.000;8.670.000;6.150.000;6.220.000;1.963.046;10777300
01/08/2002;6.040.000;7.160.000;5.600.000;6.620.000;2.112.626;9209700
01/09/2002;6.380.000;6.820.000;4.880.000;5.180.000;1.653.083;9553800
01/10/2002;5.160.000;6.490.000;4.700.000;5.930.000;1.892.428;11268600
01/11/2002;5.930.000;7.300.000;5.850.000;7.020.000;2.267.296;7056200
01/12/2002;7.310.000;7.370.000;6.380.000;7.050.000;2.276.984;5322600
01/01/2003;7.020.000;7.590.000;6.010.000;6.280.000;2.028.292;7735800
01/02/2003;6.180.000;6.560.000;5.810.000;6.340.000;2.073.142;4585100
01/03/2003;6.540.000;7.080.000;5.500.000;6.360.000;2.079.682;5022600
01/04/2003;6.540.000;7.950.000;6.440.000;7.860.000;2.570.174;6125100
01/05/2003;7.800.000;8.230.000;7.400.000;8.080.000;2.664.753;4568600
01/06/2003;8.100.000;9.500.000;8.050.000;8.820.000;2.908.803;4172100
01/07/2003;8.770.000;9.340.000;8.610.000;8.900.000;2.935.187;4240200
01/08/2003;8.870.000;9.020.000;8.350.000;8.580.000;2.856.500;3713900
01/09/2003;8.550.000;9.000.000;8.400.000;8.510.000;2.833.195;4988200
01/10/2003;8.610.000;9.560.000;8.560.000;9.530.000;3.172.780;4741700
01/11/2003;9.700.000;10.500.000;9.550.000;10.380.000;3.489.352;5661000
01/12/2003;10.630.000;12.010.000;10.620.000;12.010.000;4.037.296;6885500
01/01/2004;12.060.000;12.400.000;11.330.000;11.490.000;3.862.492;6198200
01/02/2004;11.430.000;12.130.000;11.220.000;11.630.000;3.941.854;4246600
01/03/2004;11.630.000;11.630.000;10.180.000;10.980.000;3.721.545;7729900
01/04/2004;11.000.000;11.490.000;10.510.000;10.620.000;3.599.525;5958300
01/05/2004;10.710.000;10.930.000;9.860.000;10.680.000;3.648.685;6659400
01/06/2004;10.450.000;11.020.000;10.320.000;10.500.000;3.587.192;4469700
01/07/2004;10.510.000;10.720.000;9.250.000;9.460.000;3.231.887;5071300
01/08/2004;9.560.000;9.910.000;9.140.000;9.870.000;3.407.905;5352300
01/09/2004;9.870.000;10.200.000;9.490.000;9.780.000;3.376.830;4062400
01/10/2004;9.810.000;11.210.000;9.810.000;11.180.000;3.860.222;6075100
